address,eth_balance
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,245551591106478100000000
0x8cf23cd535a240eb0ab8667d24eedbd9eccd5cba,240494125164129687409632
0xa7efae728d2936e78bda97dc267687568dd593f3,232721710624079986020000
0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,223660243945248780000000
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,214570168126981611677133
0xbfc868b0c0af3885389a2242a2afdb841b78812f,207881821452507059913609
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,201738085361753900234436
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,200000107035971329543721
0x1ffedd7837bcbc53f91ad4004263deb8e9107540,200000000400000000000000
0x81153b940932f49f42e5719fe9d1ec04e0e5c119,200000000000000000000000
0x657e46adad8be23d569ba3105d7a02124e8def97,200000000000000000000000
0x73263803def2ac8b1f8a42fac6539f5841f4e673,200000000000000000000000
0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,199580321715139003028729
0x6047a74d635262fb73ebce6c12bb6b14b3da70b4,198861935888021468115528
0x78b96178e7ae1ff9adc5d8609e000811657993c8,197655830372492861517291
0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,197570955254713395946452
0x1a71b118ac6c9086f43bcf2bb6ada3393be82a5c,197318216038669381260319
0xfc39f0dc7a1c5d5cd1cdf3b460d5fa99a56abf65,197262329569349759081896
0xd44023d2710dd7bef797a074ecec4fc74fdd52b2,197208193673412831795817
0x7712bdab7c9559ec64a1f7097f36bc805f51ff1a,196919689735125968697724
0x024861e9f89d44d00a7ada4aa89fe03cab9387cd,196021971858480851864083
0xd69b0089d9ca950640f5dc9931a41a5965f00303,192881989162812111555511
0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,188297684275697640931090
0xb8808f9e9b88497ec522304055cd537a0913f6a0,187253317614000000000911
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068195590000000000000
0xaf10cc6c50defff901b535691550d7af208939c5,185590928719459999979000
0x40a293f290af3b8985fe0dc0a0041323c220be81,180100000000000000000000
0x4c766def136f59f6494f0969b1355882080cf8e0,175997382767936600000000
0x3c979fb790c86e361738ed17588c1e8b4c4cc49a,171510027261079000000000
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031993519583935970841
0xf66852bc122fd40bfecc63cd48217e88bda12109,161967450753962200000000
0x3ba25081d3935fcc6788e6220abcace39d58d95d,157738105878661066223609
0x32598293906b5b17c27d657db3ad2c9b3f3e4265,155552860759900000000000
0xfc45cfca2bbfd14ada20c7d57a0fe5d567268519,152336101139650000000000
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000100000000000000000
0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,150000000000000000001822
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000000000000000000912
0x554f4476825293d4ad20e02b54aca13956acc40a,150000000000000000000000
0x701c484bfb40ac628afa487b6082f084b14af0bd,150000000000000000000000
0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,150000000000000000000000
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000000000000000000000
0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,150000000000000000000000
0x7145cfedcf479bede20c0a4ba1868c93507d5786,150000000000000000000000
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000000000000000000000
0xb20411c403687d1036e05c8a7310a0f218429503,150000000000000000000000
0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,150000000000000000000000
0xca582d9655a50e6512045740deb0de3a7ee5281f,150000000000000000000000
0x828103b231b39fffce028562412b3c04a4640e64,150000000000000000000000
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000000000000000000000
0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,150000000000000000000000
0x550cd530bc893fc6d2b4df6bea587f17142ab64e,150000000000000000000000
0x74660414dfae86b196452497a4332bd0e6611e82,150000000000000000000000
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000000000000000000000
0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,150000000000000000000000
0x8b83b9c4683aa4ec897c569010f09c6d04608163,150000000000000000000000
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000000000000000000000
0xe35b0ef92452c353dbb93775e0df97cedf873c72,150000000000000000000000
